iter	Passed	Remaining
0	267	79958
1	281	41948
2	294	29179
3	305	22621
4	315	18590
5	323	15851
6	329	13772
7	336	12281
8	342	11067
9	348	10115
10	355	9339
11	361	8670
12	368	8145
13	375	7665
14	382	7275
15	389	6906
16	395	6585
17	403	6324
18	410	6069
19	419	5866
20	426	5666
21	436	5512
22	443	5339
23	453	5212
24	457	5033
25	466	4918
26	471	4769
27	480	4672
28	488	4560
29	496	4464
30	504	4380
31	513	4302
32	520	4208
33	528	4131
34	536	4065
35	546	4007
36	555	3950
37	564	3894
38	572	3831
39	583	3792
40	591	3738
41	600	3687
42	608	3637
43	618	3599
44	628	3559
45	637	3517
46	647	3482
47	654	3438
48	665	3406
49	676	3382
50	684	3340
51	693	3305
52	703	3276
53	714	3253
54	723	3222
55	732	3191
56	740	3157
57	747	3119
58	754	3083
59	763	3052
60	772	3025
61	780	2996
62	787	2964
63	795	2933
64	803	2905
65	811	2875
66	820	2851
67	828	2827
68	839	2810
69	848	2788
70	857	2765
71	866	2743
72	875	2722
73	882	2694
74	890	2672
75	897	2646
76	907	2628
77	915	2605
78	924	2584
79	931	2561
80	941	2544
81	948	2522
82	956	2501
83	969	2492
84	976	2469
85	983	2447
86	994	2434
87	1002	2416
88	1010	2394
89	1018	2375
90	1026	2357
91	1034	2339
92	1042	2320
93	1051	2304
94	1061	2289
95	1069	2273
96	1077	2254
97	1084	2235
98	1095	2224
99	1103	2207
100	1111	2189
101	1120	2176
102	1130	2162
103	1140	2148
104	1150	2136
105	1160	2124
106	1170	2112
107	1179	2096
108	1188	2082
109	1196	2067
110	1206	2054
111	1216	2041
112	1224	2027
113	1236	2017
114	1247	2006
115	1256	1993
116	1268	1983
117	1278	1972
118	1288	1959
119	1297	1946
120	1307	1934
121	1318	1923
122	1326	1909
123	1336	1897
124	1346	1884
125	1357	1874
126	1366	1860
127	1375	1847
128	1388	1841
129	1397	1828
130	1404	1812
131	1414	1799
132	1421	1784
133	1431	1773
134	1442	1763
135	1452	1751
136	1461	1739
137	1473	1730
138	1482	1717
139	1491	1704
140	1500	1692
141	1509	1679
142	1517	1665
143	1525	1652
144	1535	1641
145	1544	1628
146	1553	1616
147	1564	1606
148	1574	1595
149	1584	1584
150	1598	1577
151	1608	1566
152	1617	1553
153	1628	1543
154	1637	1532
155	1648	1521
156	1658	1511
157	1667	1498
158	1677	1488
159	1687	1476
160	1697	1465
161	1706	1453
162	1715	1441
163	1725	1431
164	1734	1419
165	1744	1408
166	1753	1396
167	1764	1386
168	1776	1376
169	1785	1365
170	1796	1354
171	1804	1343
172	1812	1330
173	1822	1319
174	1832	1308
175	1842	1297
176	1851	1286
177	1859	1274
178	1868	1263
179	1877	1251
180	1885	1239
181	1894	1228
182	1903	1217
183	1912	1205
184	1923	1195
185	1930	1183
186	1941	1172
187	1949	1161
188	1959	1150
189	1971	1141
190	1979	1129
191	1990	1119
192	2000	1109
193	2009	1097
194	2020	1087
195	2027	1076
196	2037	1065
197	2044	1053
198	2053	1042
199	2062	1031
200	2072	1020
201	2083	1010
202	2093	1000
203	2104	990
204	2113	979
205	2124	969
206	2139	961
207	2149	950
208	2160	940
209	2173	931
210	2184	921
211	2195	911
212	2206	901
213	2215	890
214	2224	879
215	2235	869
216	2246	859
217	2257	848
218	2266	838
219	2275	827
220	2284	816
221	2293	805
222	2302	795
223	2312	784
224	2321	773
225	2330	763
226	2338	752
227	2348	741
228	2357	730
229	2366	720
230	2374	709
231	2384	698
232	2394	688
233	2402	677
234	2411	667
235	2421	656
236	2430	646
237	2439	635
238	2449	625
239	2458	614
240	2468	604
241	2478	594
242	2487	583
243	2496	573
244	2504	562
245	2515	552
246	2524	541
247	2533	531
248	2543	520
249	2551	510
250	2561	500
251	2569	489
252	2579	479
253	2588	468
254	2599	458
255	2610	448
256	2619	438
257	2630	428
258	2641	418
259	2650	407
260	2662	397
261	2674	387
262	2684	377
263	2695	367
264	2704	357
265	2715	347
266	2726	336
267	2735	326
268	2746	316
269	2757	306
270	2767	296
271	2777	285
272	2788	275
273	2797	265
274	2809	255
275	2819	245
276	2829	234
277	2842	224
278	2852	214
279	2863	204
280	2876	194
281	2889	184
282	2899	174
283	2911	164
284	2921	153
285	2931	143
286	2943	133
287	2957	123
288	2967	112
289	2975	102
290	2985	92
291	2994	82
292	3005	71
293	3019	61
294	3029	51
295	3040	41
296	3049	30
297	3058	20
298	3069	10
299	3077	0
