SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3
100001,0,Cash loans,F,N,Y,1,339003.5282180729,1691611.121316869,77647.21196240062,Pensioner,Secondary / secondary special,Married,House / apartment,0.0659644404610288,-12060,365243,-2289,-918,2,2,0.642083802068037,0.5185885934559105,
100002,0,Revolving loans,M,N,Y,1,157087.39947591414,711974.2413926551,35292.574604208414,Commercial associate,Incomplete higher,Separated,House / apartment,0.0034471606031149,-22099,-9465,-14062,-3638,2,2,0.4838947932005775,0.5774259653957058,0.6885077185804803
100003,0,Cash loans,F,Y,Y,0,124530.19586066832,455150.38200005895,24174.429309984767,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.0240360653350646,-13248,-10454,-9383,-2026,2,2,,0.3680661708098885,
100004,0,Cash loans,F,N,Y,0,202369.49210803423,495386.9865656654,13330.127059969396,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0491093797829674,-23719,-3407,-13834,-987,2,2,0.5864461707838586,0.6197770847577709,0.3057302944855438
100005,0,Cash loans,F,N,Y,0,72010.96081699026,312494.82447894145,14284.477452584635,Pensioner,Higher education,Married,House / apartment,0.0363443669685745,-24755,365243,-15404,-788,3,3,0.595930443584669,0.7775543489799963,0.200233177021997
100006,0,Cash loans,F,Y,Y,0,119410.90193917714,415075.573546922,13268.526152760933,Working,Secondary / secondary special,Married,House / apartment,0.0149193927850305,-21365,-8746,-8381,-1454,2,2,0.9008754938525346,0.439681214240401,0.2725972786881454
100007,0,Cash loans,F,Y,Y,0,151885.59922177615,582171.1781799588,33258.91651439245,Pensioner,Higher education,Married,House / apartment,0.0491044514227123,-17946,365243,-3747,-670,2,2,0.5222809545865122,0.4071568620113683,0.420459960428927
100008,0,Cash loans,F,N,Y,0,190934.49378667015,983964.0045811615,39486.388385290455,Working,Secondary / secondary special,Widow,Municipal apartment,0.0511048341162296,-8274,-4196,-12178,-1228,2,2,,0.3899133083697133,0.6886591902510844
100009,0,Cash loans,F,Y,N,0,150321.43255818688,402713.1253895515,18368.460814700386,State servant,Higher education,Single / not married,House / apartment,0.04755307106835,-17478,-2666,-12034,-1399,1,1,0.591527136917927,0.5070247151570965,0.581009775506625
100010,0,Cash loans,F,N,Y,1,69945.65077520523,268166.1795158966,19978.173188010616,Working,Secondary / secondary special,Married,House / apartment,0.0391203154189477,-8549,-1009,-9816,-2270,2,2,,0.4571010692596732,0.5259401560935603
100011,0,Cash loans,F,N,Y,1,85607.06341467984,285047.31076807843,9019.459046692762,State servant,Secondary / secondary special,Married,House / apartment,0.0689659302709572,-22883,-8036,-12612,-1546,2,2,0.3546738677062594,0.5401662694196645,0.4352518049136979
100012,1,Revolving loans,F,Y,Y,0,107419.45394900435,420922.7825073261,17375.98301059686,Working,Secondary / secondary special,Married,House / apartment,0.064359744396992,-11628,-3544,-12519,-3713,1,1,,0.5255233928382365,0.3564634112816933
100013,0,Cash loans,M,Y,Y,0,150359.89201622098,499715.0915187793,24610.246031260875,Commercial associate,Higher education,Widow,House / apartment,0.0412795221261739,-18690,-5550,-236,-5167,2,2,0.546135351546255,0.4733017655883157,0.6053444914147863
100014,0,Cash loans,F,Y,N,0,69670.88374481798,211906.88288102808,10860.706219162532,Commercial associate,Secondary / secondary special,Married,Municipal apartment,0.0158598301686987,-15807,-1039,-12552,-5347,2,2,0.5056247713290425,0.656462800862201,
100015,0,Cash loans,M,N,Y,0,269560.1257590732,1092818.2157717936,43023.3331317298,Pensioner,Secondary / secondary special,Separated,House / apartment,0.0318029930361662,-17086,365243,-4485,-999,2,2,0.527586060576341,0.7687664850734953,0.2267965869698573
100016,0,Cash loans,M,Y,Y,0,155819.57123297962,673682.588293002,32374.89813040437,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0070506319013403,-14398,-7087,-2070,-2131,1,1,0.728352715508903,0.6766964118888952,0.6953847225679259
100017,0,Cash loans,F,N,Y,1,153715.95595243844,464558.0086266832,26696.07920434804,Working,Secondary / secondary special,Married,House / apartment,0.0548836488210638,-12086,-6133,-10123,-320,1,1,0.386612585328889,0.3965314535962089,0.4047838500114473
100018,0,Cash loans,M,N,Y,0,122200.53220084746,436913.42771794513,32602.243105931,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.0124846758806142,-8435,-2992,-7570,-4875,2,2,0.5556365063024982,0.7249459290355517,0.4108138674395008
100019,0,Cash loans,F,Y,N,0,64753.216223229225,318485.9005184492,12114.947997189092,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0588792065248203,-16669,-513,-12931,-3797,2,2,0.5378426448697158,0.7784520041353294,0.4944101694584128
100020,0,Cash loans,M,N,Y,0,139442.22777226398,420947.46912284486,19566.27671144381,Working,Secondary / secondary special,Single / not married,House / apartment,0.03675862884187,-8498,-4534,-11542,-226,2,2,0.2392685207643315,0.7970161961779925,0.6817327193754775
100021,0,Cash loans,F,Y,Y,0,193709.9104121721,562294.0036062083,30146.49415552258,Commercial associate,Incomplete higher,Married,House / apartment,0.0429335855546078,-23474,-3723,-12085,-1387,2,2,,0.5513287648536848,0.4827902069592775
100022,0,Cash loans,M,N,N,0,123422.31231237568,487326.7409720387,20290.592241901653,Working,Incomplete higher,Married,House / apartment,0.038932770967141,-21846,-1453,-14050,-229,2,2,0.5653384219032305,0.3885688964936157,0.4256772449222279
100023,0,Cash loans,F,N,N,0,227425.7448750978,950705.1955096156,54944.24529147622,Working,Higher education,Married,House / apartment,0.0175252662550718,-23970,-7920,-14301,-5477,2,2,0.4640059992805855,0.4853354392559226,0.7256313375756909
100024,0,Cash loans,M,Y,N,0,129163.91200632697,719994.6758873719,35820.996992699525,Working,Incomplete higher,Widow,House / apartment,0.0532805399291446,-18415,-7885,-1116,-5175,2,2,,0.6865110953785843,0.4694859152460321
100025,0,Cash loans,F,Y,Y,0,188718.7439941076,681543.5008898366,35178.67044067058,Working,Incomplete higher,Married,House / apartment,0.0540533414472781,-22883,-6076,-13371,-3491,2,2,0.4342070050055862,0.5106688422029639,0.4238143978178663
100026,0,Cash loans,M,N,Y,2,126075.5224235049,667530.4839192247,36058.53116230624,Working,Higher education,Widow,House / apartment,0.0648851512929295,-9232,-3045,-6193,-5110,1,1,0.4998128713174604,0.7222884329956838,0.6662119171795685
100027,0,Cash loans,F,N,N,0,161082.76970422885,563197.5478805295,19604.10911632176,Commercial associate,Higher education,Civil marriage,House / apartment,0.0106804655158464,-13585,-1310,-2005,-3254,2,2,,0.827550198949095,0.3604145668802845
100028,0,Cash loans,F,Y,Y,0,205677.1260700889,1066197.1803791227,54684.31705369553,Working,Secondary / secondary special,Married,House / apartment,0.0639937409363688,-22099,-4267,-4994,-1189,1,1,,0.7018590138982206,0.6692919939622496
100029,0,Cash loans,F,N,N,0,77636.484155299,351662.2557323696,14429.076766669265,Working,Higher education,Married,House / apartment,0.0278167348586657,-9831,-8888,-2619,-4932,2,2,0.5829449533088558,0.6254096171638251,0.2421218201435172
100030,0,Cash loans,F,N,Y,0,184178.0963842491,835968.4738361541,37444.25984725801,Working,Secondary / secondary special,Married,With parents,0.0454701239080237,-13575,-3045,-3381,-535,2,2,,0.7177852764485169,0.7706152656682654
100031,0,Cash loans,F,N,Y,0,225743.6064716888,879693.3900966035,46280.36772690188,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.0405025800311339,-14174,-10662,-3477,-421,1,1,,0.5507730736803363,0.4198984171605666
100032,0,Cash loans,M,N,Y,0,398392.8594191382,1088244.2537207757,60057.96734273447,Working,Secondary / secondary special,Married,House / apartment,0.0398482721363532,-19375,-5347,-16073,-562,2,2,0.5294440969023504,0.7755731703667674,0.2707037077336114
100033,0,Cash loans,F,Y,N,0,138078.26014918782,339908.79969631054,16990.7162649256,Working,Secondary / secondary special,Married,House / apartment,0.0446639192312137,-11658,-2183,-8571,-4357,2,2,0.5487694574891026,0.511525551723533,0.2487357458552648
100034,0,Revolving loans,M,N,Y,0,46648.5382980828,134641.5210495609,14414.14125128877,Working,Secondary / secondary special,Separated,House / apartment,0.0518767801687602,-19940,-3162,-5913,-4438,2,2,,0.8352838042611213,0.4773809567844023
100035,1,Revolving loans,F,Y,N,0,54697.95766535797,295033.99509401893,13574.684274374247,Pensioner,Secondary / secondary special,Married,House / apartment,0.0502061545954295,-10314,365243,-11366,-5112,1,1,0.5878613358774275,0.5022223942561486,
100036,0,Cash loans,M,N,Y,0,85512.84263520488,103957.8380948666,2000.0,State servant,Higher education,Separated,House / apartment,0.0334285408371542,-16963,-6354,-1553,-4918,2,2,,0.7492391551630821,0.3146918391087271
100037,0,Cash loans,F,Y,N,2,253016.7699059065,1176517.101774225,52999.835232803,Working,Secondary / secondary special,Married,House / apartment,0.007868099050119,-18319,-1775,-15784,-354,2,2,,0.597636305311347,0.4922545695188935
100038,0,Cash loans,F,N,Y,0,399662.83577069984,1870250.1079867408,101140.57086774436,Working,Incomplete higher,Married,With parents,0.030996816542516,-15044,-1204,-15948,-3364,2,2,0.4724959219851658,0.4764621660205245,0.4182927449080861
100039,0,Cash loans,M,N,Y,3,108746.35059210598,322477.8171476962,25034.87586795636,Working,Secondary / secondary special,Separated,House / apartment,0.049974842338788,-11653,-6349,-8059,-3497,2,2,0.683314030853667,0.6810887505020542,0.3518724595316402
100040,0,Cash loans,F,N,Y,0,136847.96856799207,746950.4543353784,39162.25891289209,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0638889631114093,-23743,-6575,-8312,-3507,2,2,0.4479204607296876,0.5970832346847491,0.5026473767157865
100041,0,Cash loans,F,N,Y,0,36657.69026487601,152543.92798546748,4543.504376688572,Working,Secondary / secondary special,Single / not married,House / apartment,0.0332247687469852,-12551,-240,-10155,-4839,1,1,0.6438672068731514,0.848327957058372,0.2968218970501975
